A/mA (Raspberry Pi Glossary)|Ampere/milliampere, the <a href="https://en.wikipedia.org/wiki/Ampere">base unit of electrical current</a>.
API (Raspberry Pi Glossary)|<a href="https://en.wikipedia.org/wiki/Application_programming_interface">Application Programming Interface</a>, a set of subroutine definitions, communication protocols, and tools used for building software.
Arm (Raspberry Pi Glossary)|A <a href="https://en.wikipedia.org/wiki/Arm_architecture">series of instruction-set architectures and processor microarchitectures</a>, mostly developed by Arm Holdings based in Cambridge, UK.
Armv6 (Raspberry Pi Glossary)|The instruction set architecture used on the first Raspberry Pi (Pi 1) and the Pi Zero range.
Armv7 (Raspberry Pi Glossary)|The instruction set architecture used on the Raspberry Pi 2 range.
Armv8 (Raspberry Pi Glossary)|The instruction set architecture used on the Raspberry Pi 3 range; very similar to Armv7 in 32-bit mode.
balenaEtcher (Raspberry Pi Glossary)|A graphical tool for <a href="../installation/installing-images/README.md">programming SD cards</a> ready for use on our devices; available for Linux, Windows, and Mac. Now superceded by Raspberry Pi's own imaging tool, which can be downloaded <a href="https://www.raspberrypi.org/downloads/">here</a>.
Bare metal (Raspberry Pi Glossary)|Programming the Raspberry Pi without using an operating system.
BCM2835 (Raspberry Pi Glossary)|The SoC used on the Raspberry Pi 1, Compute Module 1, and Raspberry Pi Zero range; see our <a href="../hardware/raspberrypi/bcm2835/README.md">official documentation</a>.
BCM2836 (Raspberry Pi Glossary)|The SoC used on the original Raspberry Pi 2; see our <a href="../hardware/raspberrypi/bcm2836/README.md">official documentation</a>.
BCM2837 (Raspberry Pi Glossary)|The SoC used on the Raspberry Pi 3, Compute Module 3, and Raspberry Pi 2 version 1.2; see our <a href="../hardware/raspberrypi/bcm2837/README.md">official documentation</a>.
BCM2711 (Raspberry Pi Glossary)|The SoC used on the Raspberry Pi 4B; see our <a href="../hardware/raspberrypi/bcm2711/README.md">official documentation</a>.
BLE/BTLE (Raspberry Pi Glossary)|Bluetooth Low Energy, a low-power version of the Bluetooth wireless communications protocol.
